year,station,days,available_days,value
2011,Shadipur,362,365,0.9917808219178083
2011,Dwarka,358,365,0.9808219178082191
2011,IHBAS,352,365,0.9643835616438357
2011,ITO,354,365,0.9698630136986301
2011,IGI Airport,365,365,1
2011,Civil Lines,365,365,1
2011,R K Puram,139,365,0.38082191780821917
2011,Punjabi Bagh,143,365,0.3917808219178082
2011,Mandir Marg,143,365,0.3917808219178082
2011,Anand Vihar,0,365,0
2011,Sirifort,149,365,0.40821917808219177
2011,East Arjun Nagar,0,365,0
2011,DTU,0,365,0
2011,CRRI Mathura Road,0,365,0
2011,North Campus,0,365,0
2011,Lodhi Road,0,365,0
2011,Aya Nagar,0,365,0
2011,Burari Crossing,0,365,0
2011,IGI Airport Terminal-3,0,365,0
2011,Pusa MD,0,365,0
2012,Shadipur,331,366,0.9043715846994536
2012,Dwarka,319,366,0.8715846994535519
2012,IHBAS,347,366,0.9480874316939891
2012,ITO,245,366,0.6693989071038251
2012,IGI Airport,366,366,1
2012,Civil Lines,366,366,1
2012,R K Puram,287,366,0.7841530054644809
2012,Punjabi Bagh,287,366,0.7841530054644809
2012,Mandir Marg,287,366,0.7841530054644809
2012,Anand Vihar,149,366,0.40710382513661203
2012,Sirifort,0,366,0
2012,East Arjun Nagar,0,366,0
2012,DTU,0,366,0
2012,CRRI Mathura Road,0,366,0
2012,North Campus,0,366,0
2012,Lodhi Road,0,366,0
2012,Aya Nagar,0,366,0
2012,Burari Crossing,0,366,0
2012,IGI Airport Terminal-3,0,366,0
2012,Pusa MD,0,366,0
2013,Shadipur,364,365,0.9972602739726028
2013,Dwarka,357,365,0.9780821917808219
2013,IHBAS,362,365,0.9917808219178083
2013,ITO,212,365,0.5808219178082191
2013,IGI Airport,365,365,1
2013,Civil Lines,365,365,1
2013,R K Puram,84,365,0.23013698630136986
2013,Punjabi Bagh,84,365,0.23013698630136986
2013,Mandir Marg,84,365,0.23013698630136986
2013,Anand Vihar,81,365,0.2219178082191781
2013,Sirifort,0,365,0
2013,East Arjun Nagar,0,365,0
2013,DTU,0,365,0
2013,CRRI Mathura Road,0,365,0
2013,North Campus,0,365,0
2013,Lodhi Road,0,365,0
2013,Aya Nagar,0,365,0
2013,Burari Crossing,0,365,0
2013,IGI Airport Terminal-3,0,365,0
2013,Pusa MD,0,365,0
2014,Shadipur,360,365,0.9863013698630136
2014,Dwarka,358,365,0.9808219178082191
2014,IHBAS,356,365,0.9753424657534246
2014,ITO,222,365,0.6082191780821918
2014,IGI Airport,365,365,1
2014,Civil Lines,365,365,1
2014,R K Puram,0,365,0
2014,Punjabi Bagh,0,365,0
2014,Mandir Marg,0,365,0
2014,Anand Vihar,0,365,0
2014,Sirifort,0,365,0
2014,East Arjun Nagar,0,365,0
2014,DTU,0,365,0
2014,CRRI Mathura Road,0,365,0
2014,North Campus,0,365,0
2014,Lodhi Road,0,365,0
2014,Aya Nagar,0,365,0
2014,Burari Crossing,0,365,0
2014,IGI Airport Terminal-3,0,365,0
2014,Pusa MD,0,365,0
2015,Shadipur,365,365,1
2015,Dwarka,356,365,0.9753424657534246
2015,IHBAS,194,365,0.5315068493150685
2015,ITO,281,365,0.7698630136986301
2015,IGI Airport,161,365,0.4410958904109589
2015,Civil Lines,161,365,0.4410958904109589
2015,R K Puram,259,365,0.7095890410958904
2015,Punjabi Bagh,252,365,0.6904109589041096
2015,Mandir Marg,252,365,0.6904109589041096
2015,Anand Vihar,254,365,0.6958904109589041
2015,Sirifort,0,365,0
2015,East Arjun Nagar,0,365,0
2015,DTU,0,365,0
2015,CRRI Mathura Road,0,365,0
2015,North Campus,0,365,0
2015,Lodhi Road,0,365,0
2015,Aya Nagar,0,365,0
2015,Burari Crossing,0,365,0
2015,IGI Airport Terminal-3,0,365,0
2015,Pusa MD,0,365,0
2016,Shadipur,339,366,0.9262295081967213
2016,Dwarka,323,366,0.8825136612021858
2016,IHBAS,304,366,0.8306010928961749
2016,ITO,74,366,0.20218579234972678
2016,IGI Airport,1,366,0.00273224043715847
2016,Civil Lines,1,366,0.00273224043715847
2016,R K Puram,353,366,0.9644808743169399
2016,Punjabi Bagh,345,366,0.9426229508196722
2016,Mandir Marg,345,366,0.9426229508196722
2016,Anand Vihar,326,366,0.8907103825136612
2016,Sirifort,59,366,0.16120218579234974
2016,East Arjun Nagar,193,366,0.5273224043715847
2016,DTU,59,366,0.16120218579234974
2016,CRRI Mathura Road,1,366,0.00273224043715847
2016,North Campus,0,366,0
2016,Lodhi Road,0,366,0
2016,Aya Nagar,0,366,0
2016,Burari Crossing,0,366,0
2016,IGI Airport Terminal-3,0,366,0
2016,Pusa MD,0,366,0
2017,Shadipur,318,318,1
2017,Dwarka,303,318,0.9528301886792453
2017,IHBAS,310,318,0.9748427672955975
2017,ITO,311,318,0.9779874213836478
2017,IGI Airport,0,318,0
2017,Civil Lines,0,318,0
2017,R K Puram,293,318,0.9213836477987422
2017,Punjabi Bagh,277,318,0.8710691823899371
2017,Mandir Marg,277,318,0.8710691823899371
2017,Anand Vihar,309,318,0.9716981132075472
2017,Sirifort,303,318,0.9528301886792453
2017,East Arjun Nagar,298,318,0.9371069182389937
2017,DTU,311,318,0.9779874213836478
2017,CRRI Mathura Road,71,318,0.22327044025157233
2017,North Campus,69,318,0.2169811320754717
2017,Lodhi Road,68,318,0.2138364779874214
2017,Aya Nagar,67,318,0.21069182389937108
2017,Burari Crossing,65,318,0.20440251572327045
2017,IGI Airport Terminal-3,63,318,0.19811320754716982
2017,Pusa MD,9,318,0.02830188679245283